student,school,time,message
2,IOE00348,100,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to Farringdon THEN Elizabeth line to Whitechapel Station THEN London Overground to Forest Hill Rail Station THEN Walk to Forest Hill Stn / Waldram Cres THEN 122 bus to Sydenham School THEN Walk to 161 Dartmouth Road, Forest Hill"
2,IOE00352,88,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to City Thameslink THEN 133 bus to Cannon Street Station THEN Walk to Cannon Street, Cannon Street Rail Station THEN Southeastern to Deptford THEN Walk to 9999 Wilshaw Street, New Cross"
2,IOE00403,89,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to Farringdon THEN Elizabeth line to Whitechapel Station THEN London Overground to Canada Water Rail Station THEN Walk to Canada Water Bus Station THEN 381 bus to Canada Street THEN Walk to 15 Timber Pond Road, Rotherhithe"
2,IOE00406,85,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to Peckham Rye THEN 63 bus to Friern Road THEN Walk to 1 Friern Road, East Dulwich"
2,IOE00452,80,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to Farringdon THEN Metropolitan line to Liverpool Street THEN Central line to Bethnal Green THEN Walk to Globe Town"
2,IOE00454,82,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to Farringdon THEN Elizabeth line to Whitechapel Station THEN London Overground to Shadwell Rail Station THEN Walk to Shadwell DLR THEN 339 bus to Dongola Road THEN Walk to 1 Ocean Street, Tower Hamlets"
2,IOE00460,79,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to Farringdon THEN Elizabeth line to Whitechapel Station THEN London Overground to Shadwell Rail Station THEN Walk to Shadwell DLR THEN 339 bus to Musbury Street THEN Walk to 402 Commercial Road, Tower Hamlets"
2,IOE00471,78,"Walk to Welwyn Garden City, Boundary Lane THEN 724 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Great Northern to Old Street THEN 55 bus to Queensbridge Road THEN Walk to 1 Lorden Walk, Bethnal Green"
2,IOE00506,88,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to Finsbury Park THEN Walk to Finsbury Park THEN Victoria line to Stockwell THEN Northern line to Balham THEN Walk to 9999 Hearnville Road, Balham"
2,IOE00509,108,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Great Northern to Finsbury Park THEN Walk to Finsbury Park THEN Victoria line to Stockwell THEN Northern line to Tooting Broadway THEN Walk to Garratt Lane /Tooting Broadway THEN 77 bus to Burntwood Lane THEN Walk to 187 Burntwood Lane, Wandsworth"
2,IOE00538,77,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to St Albans, St Albans City Railway Station THEN Walk to St Albans City Rail Station THEN Thameslink to West Hampstead Thameslink THEN Walk to Dennington Park Road THEN 328 bus to Kilburn Park Station THEN Walk to 42 Oxford Road, Kilburn"
2,IOE00553,71,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to Finsbury Park THEN Walk to Finsbury Park THEN Victoria line to Victoria THEN Walk to 1 Palace Street, St James's Park"
2,IOE00572,117,"Walk to Welwyn Garden City, Boundary Lane THEN 724 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Great Northern to Moorgate THEN Walk to Liverpool Street Station THEN Central line to Mile End THEN District line to Upney THEN 62 bus to Sandringham Road, Upney THEN Walk to 61 Sandringham Road, Barking"
2,IOE00579,129,"Walk to Welwyn Garden City, Boundary Lane THEN 724 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Great Northern to Moorgate THEN Hammersmith & City line to Barking THEN 287 bus to Gale Street / Goresbrook Leisure Centre THEN Walk to 1 Gale Street, Dagenham"
2,IOE00582,112,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Great Northern to Finsbury Park THEN Thameslink to Farringdon THEN Elizabeth line to Chadwell Heath Station THEN 62 bus to Mill Lane, Chadwell Heath THEN Walk to 455 Whalebone Lane North, Chadwell Heath"
2,IOE00641,81,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to St Albans, St Albans City Railway Station THEN Walk to St Albans City Rail Station THEN Thameslink to West Hampstead Thameslink THEN 328 bus to Golders Green Station THEN 210 bus to Wellgarth Road THEN Walk to 1 North End Road, Golders Green"
2,IOE00664,73,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to New Southgate THEN 382 bus to Vines Avenue THEN 143 bus to Basing Way THEN Walk to Finchley"
2,IOE00674,73,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to New Southgate THEN 382 bus to Vines Avenue THEN 143 bus to Ossulton Way THEN Walk to Hampstead Garden Suburb"
2,IOE00692,131,"Walk to Welwyn Garden City, Boundary Lane THEN 724 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Great Northern to Moorgate THEN Walk to Liverpool Street Station THEN Elizabeth line to Abbey Wood Station THEN Walk to Abbey Wood Road THEN 301 bus to Market Place, Bexleyheath THEN Walk to 38 Watling Street, Bexleyheath"
2,IOE00694,134,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to St Albans, St Albans City Railway Station THEN Walk to St Albans City Rail Station THEN Thameslink to London Bridge THEN Southeastern to New Eltham THEN B13 bus to Overcourt Close THEN Walk to 443 Blackfen Road, Sidcup"
2,IOE00739,85,"Walk to Welwyn Garden City, Boundary Lane THEN 724 bus to St Albans, St Albans City Railway Station THEN Walk to St Albans City Rail Station THEN Thameslink to Hendon THEN 183 bus to Shrewsbury Avenue THEN Walk to 21 Claremont Avenue, Kenton"
2,IOE00740,87,"Walk to Welwyn Garden City, Boundary Lane THEN 724 bus to St Albans, St Albans City Railway Station THEN Walk to St Albans City Rail Station THEN Thameslink to Mill Hill Broadway THEN 303 bus to Eton Grove THEN Walk to 162 Princes Avenue, Kingsbury"
2,IOE00753,143,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Welwyn Garden City, Bus Station THEN Walk to Welwyn Garden City Rail Station THEN Great Northern to Moorgate THEN Northern line to London Bridge THEN Southeastern to Mottingham THEN 161 bus to Mottingham Road / Court Road THEN 638 bus to Eltham College THEN Walk to 1 Colview Court, Mottingham"
2,IOE00812,91,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to City Thameslink THEN Thameslink to Norwood Junction THEN 196 bus to Portland Road THEN Walk to 9999 Cumberlow Avenue, South Norwood"
2,IOE00813,120,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Great Northern to Finsbury Park THEN Thameslink to East Croydon THEN Thameslink to Norwood Junction THEN Walk to Portland Road THEN 410 bus to Harris City Academy THEN Walk to 1 Mowbray Road, Upper Norwood"
2,IOE00818,113,"Walk to Welwyn Garden City, Boundary Lane THEN 724 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Great Northern to Highbury & Islington THEN Victoria line to Brixton THEN 250 bus to Kensington Avenue THEN Walk to 34 Kensington Avenue, Thornton Heath"
2,IOE00822,100,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to Farringdon THEN Thameslink to Tulse Hill THEN 196 bus to Grecian Crescent THEN Walk to 1 Beulah Hill, South Norwood"
2,IOE00831,129,"Walk to Welwyn Garden City, Boundary Lane THEN 724 bus to St Albans, St Albans City Railway Station THEN Walk to St Albans City Rail Station THEN Thameslink to East Croydon THEN 367 bus to Glade Gardens THEN Walk to 94 Orchard Way, Croydon"
2,IOE00863,129,"Walk to Welwyn Garden City, Boundary Lane THEN 724 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Great Northern to Moorgate THEN Walk to Liverpool Street Station THEN Elizabeth line to Southall Station THEN 120 bus to The Green THEN 120 bus to Denbigh Road (UB1) THEN Walk to 106 Allenby Road, Southall"
2,IOE00867,91,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to Farringdon THEN Elizabeth line to Hanwell Station THEN E3 bus to Kennedy Road THEN Walk to 4 Kennedy Road, Hanwell"
2,IOE00869,91,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to Farringdon THEN Elizabeth line to Ealing Broadway Station THEN Central line to West Acton THEN Walk to 1 Garage Road, Acton"
2,IOE00953,70,"Walk to Welwyn Garden City, Boundary Lane THEN 724 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Great Northern to Alexandra Palace THEN W3 bus to Gillham Terrace THEN Walk to 1 Taylor Close, Tottenham"
2,IOE00954,67,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to New Southgate THEN Walk to Whitmore Close THEN 221 bus to Bounds Green Station THEN 299 bus to Muswell Hill THEN 234 bus to Birchwood Avenue (N10) THEN Walk to 1 Burlington Road, Muswell Hill"
2,IOE00963,64,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to New Southgate THEN Walk to Whitmore Close THEN 221 bus to Turnpike Lane Station THEN 41 bus to West Green Primary School THEN Walk to 1 Ashleys Alley, Tottenham"
2,IOE00976,60,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to New Southgate THEN Walk to Whitmore Close THEN 221 bus to Haringey Civic Centre THEN 121 bus to Wood Green Police Station THEN Walk to 9999 Crofts Lane, Wood Green"
2,IOE00978,45,"Walk to Welwyn Garden City, Boundary Lane THEN 724 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Great Northern to Alexandra Palace THEN Walk to 1 Station Road, Wood Green"
2,IOE01009,100,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to St Albans, St Albans City Railway Station THEN Walk to St Albans City Rail Station THEN Thameslink to West Hampstead Thameslink THEN Walk to West Hampstead Underground Station THEN Jubilee line to Finchley Road THEN Metropolitan line to Harrow-on-the-Hill THEN Walk to Harrow Bus Station THEN H18 bus to Southfield Park THEN Walk to 1 George V Avenue, Pinner"
2,IOE01013,101,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to St Albans, St Albans City Railway Station THEN Walk to St Albans City Rail Station THEN Thameslink to West Hampstead Thameslink THEN Walk to West Hampstead Underground Station THEN Jubilee line to Finchley Road THEN Metropolitan line to Harrow-on-the-Hill THEN Walk to Harrow Bus Station THEN H10 bus to Kings Road (HA2) THEN Walk to 312 Eastcote Lane, South Harrow"
2,IOE01062,107,"Walk to Welwyn Garden City, Boundary Lane THEN 724 bus to The Greenway THEN Walk to 1 The Greenway, Uxbridge"
2,IOE01153,99,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to Farringdon THEN Elizabeth line to Whitechapel Station THEN District line to East Ham THEN 147 bus to Sheridan Road THEN Walk to 13 Rectory Road, Manor Park"
2,IOE01157,91,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to Farringdon THEN Elizabeth line to Custom House Station THEN DLR to Prince Regent DLR Station THEN Walk to Prince Regent Bus Station THEN 473 bus to Bennett Road THEN Walk to 9 Oban Close, Plaistow"
2,IOE01165,97,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to Farringdon THEN Elizabeth line to Custom House Station THEN DLR to Beckton DLR Station THEN Walk to Beckton Bus Station THEN 300 bus to Kingsford Way THEN Walk to 1 Mitchell Walk, Beckton"
2,IOE01190,92,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to Finsbury Park THEN Walk to Finsbury Park THEN Victoria line to Walthamstow Central THEN Walk to Walthamstow Bus Station THEN 275 bus to Mill Lane THEN Walk to 8 The Charter Road, Woodford Green"
2,IOE01191,98,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to Finsbury Park THEN Walk to Finsbury Park THEN Victoria line to Walthamstow Central THEN Walk to Walthamstow Bus Station THEN 275 bus to Spring Gardens, Woodford THEN Walk to 198 St Barnabas Road, Woodford Green"
2,IOE01223,117,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Great Northern to Finsbury Park THEN Walk to Finsbury Park THEN Victoria line to Euston THEN Northern line to Waterloo THEN South Western Railway to Richmond THEN R70 bus to Marble Hill Park / Crown Road THEN Walk to 9999 Orleans Road, Twickenham"
2,IOE01263,90,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Great Northern to Finsbury Park THEN Walk to Finsbury Park THEN Victoria line to Walthamstow Central THEN Walk to Walthamstow Bus Station THEN 20 bus to Oakhurst Gardens THEN Walk to 1 Oakhurst Gardens, Walthamstow"
2,IOE01275,80,"Walk to Welwyn Garden City, Boundary Lane THEN 724 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Great Northern to Potters Bar Station THEN 313 bus to Hawksmouth THEN Walk to 9999 Nevin Drive, Chingford"
2,IOE01406,137,"Walk to Welwyn Garden City, Boundary Lane THEN 724 bus to St Albans, St Albans City Railway Station THEN Walk to St Albans City Rail Station THEN Thameslink to Farringdon THEN Elizabeth line to Paddington Rail Station THEN Great Western Railway to Slough THEN Walk to Slough Town Centre, Slough Bus Station THEN 2 bus to Chalvey, Windsor Road McDonalds THEN Walk to 16 Ragstone Road, Slough"
2,IOE01431,105,"Walk to Welwyn Garden City, Boundary Lane THEN 724 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Great Northern to Moorgate THEN Hammersmith & City line to Mile End THEN Central line to Loughton THEN Walk to 1 Alderton Hill, Loughton"
2,IOE01586,69,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to St Albans, St Albans City Railway Station THEN Walk to St Albans City Rail Station THEN Thameslink to Radlett THEN Walk to Radlett, Red Lion Hotel THEN 602 bus to Bushey (Watford), Queens School THEN Walk to Bushey (Watford)"
2,IOE01595,65,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to St Albans, St Albans City Railway Station THEN 305 bus to New Greens, New Greens Avenue THEN Walk to 5 Sandridgebury Lane, St Albans"
2,IOE01599,80,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to St Albans, St Albans City Railway Station THEN Walk to St Albans City Rail Station THEN Thameslink to Elstree & Borehamwood THEN 306 bus to Bushey (Watford), Little Reddings School THEN Walk to 1 Coldharbour Lane, Bushey"
2,IOE01821,60,"Walk to Welwyn Garden City, Boundary Lane THEN 724 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Great Northern to New Southgate THEN Walk to Whitmore Close THEN 382 bus to North London Business Park THEN Walk to Brunswick Park"
2,IOE01839,74,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to Farringdon THEN Circle line to Edgware Road (Circle Line) THEN Walk to Old Marylebone Road THEN 18 bus to Hermitage Street THEN Walk to 60 Malden Road, Camden"
2,IOE01856,73,"Walk to Welwyn Garden City, Boundary Lane THEN 301 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Thameslink to New Southgate THEN 382 bus to Vines Avenue THEN 143 bus to Stanley Road (N2) THEN Walk to 9999 Gilden Crescent, Kentish Town"
2,IOE02395,70,"Walk to Welwyn Garden City, Boundary Lane THEN 724 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Great Northern to Finsbury Park THEN Walk to Finsbury Park Interchange THEN 106 bus to Stoke Newington Station THEN Walk to 39 Cazenove Road, Stamford Hill"
2,IOE02497,111,"Walk to Welwyn Garden City, Boundary Lane THEN 724 bus to Hatfield (Herts), Hatfield Railway Station THEN Walk to Hatfield (Herts) Rail Station THEN Great Northern to Highbury & Islington THEN Victoria line to Brixton THEN 415 bus to Tulse Hill Station THEN 468 bus to Beulah Spa THEN Walk to 72 Spurgeon Road, Upper Norwood"
4,IOE00043,101,"Walk to Beddington Village THEN 463 bus to Mitcham Eastfields Station THEN Walk to Eastfields Road THEN 152 bus to Colliers Wood Station THEN Northern line to Kennington THEN Northern line to Archway THEN C11 bus to William Ellis School THEN Walk to 1 Gilden Crescent, Kentish Town"
4,IOE00044,85,"Walk to Beddington Village THEN 455 bus to Therapia Lane Tram Stop THEN Tramway Tram to Mitcham Junction Tram Stop THEN Thameslink to Farringdon THEN Metropolitan line to King's Cross St.Pancras THEN Walk to 123 Chalton Street, Camden"
4,IOE00045,92,"Walk to Beddington Village THEN 463 bus to Mitcham Eastfields Station THEN Thameslink to West Hampstead Thameslink THEN C11 bus to Hampstead School THEN Walk to 9999 Gilden Crescent, Kentish Town"
4,IOE00046,88,"Walk to Beddington Village THEN 455 bus to Therapia Lane Tram Stop THEN Tramway Tram to Mitcham Junction Tram Stop THEN Thameslink to Kentish Town THEN Northern line to Tufnell Park THEN Walk to 12 Dartmouth Park Hill, Holloway"
4,IOE00081,111,"Walk to Beddington Village THEN 455 bus to Ampere Way Tram / Valley Park THEN Walk to Ampere Way Tram Stop THEN Tramway Tram to East Croydon Tram Stop THEN Walk to East Croydon Rail Station THEN Thameslink to London Bridge THEN Thameslink to Plumstead THEN Walk to Orchard Road / Griffin Road THEN 53 bus to Warwick Terrace/Plumstead C Rd THEN Walk to 1 Old Mill Road, Plumstead"
4,IOE00128,89,"Walk to Beddington Village THEN 455 bus to West Croydon Bus Station THEN Walk to West Croydon Station THEN London Overground to Hoxton Rail Station THEN Walk to 1 Thurtle Road, Bethnal Green"
4,IOE00131,101,"Walk to Beddington Village THEN 455 bus to West Croydon Bus Station THEN Walk to West Croydon Station THEN London Overground to Hoxton Rail Station THEN 55 bus to Hackney Town Hall THEN Walk to 9999 Frampton Park Road, Hackney"
4,IOE00166,76,"Walk to Beddington Village THEN 455 bus to Therapia Lane Tram Stop THEN Tramway Tram to Wimbledon Tram Stop THEN District line to Earl's Court THEN District line to Barons Court THEN Walk to 37 St Dunstans Road, Hammersmith"
4,IOE00172,63,"Walk to Beddington Village THEN 455 bus to Therapia Lane Tram Stop THEN Tramway Tram to Wimbledon Tram Stop THEN District line to Parsons Green THEN Walk to 9 Parsons Green, Fulham"
4,IOE00218,94,"Walk to Beddington Village THEN 455 bus to Therapia Lane Tram Stop THEN Tramway Tram to Mitcham Junction Tram Stop THEN Thameslink to Kentish Town THEN Northern line to Archway THEN W5 bus to Cromwell Avenue (N6) THEN Walk to 1 Gilden Crescent, Kentish Town"
4,IOE00223,100,"Walk to Beddington Village THEN 463 bus to Mitcham Eastfields Station THEN Walk to Eastfields Road THEN 152 bus to Colliers Wood Station THEN Northern line to Stockwell THEN Victoria line to Finsbury Park THEN Walk to Finsbury Park Bus Station THEN W3 bus to Tollington Park THEN Walk to 9999 Turle Road, Finsbury Park"
4,IOE00276,46,"Walk to Beddington Village THEN 463 bus to Sherwood Park Road (CR4) THEN 118 bus to Rowan Crescent THEN Walk to 100 Woodmansterne Road, Streatham"
4,IOE00348,59,"Walk to Richmond Road, Beddington THEN 463 bus to Wallington Station THEN Southern to West Croydon THEN London Overground to Sydenham Rail Station THEN Walk to Sydenham Station / Kirkdale THEN 176 bus to Sydenham School THEN Walk to 161 Dartmouth Road, Forest Hill"
4,IOE00352,72,"Walk to Beddington Village THEN 455 bus to West Croydon Bus Station THEN Walk to West Croydon Station THEN London Overground to New Cross Gate Rail Station THEN 53 bus to Deptford High St /New Cross Rd THEN Walk to 9999 Wilshaw Street, New Cross"
4,IOE00403,80,"Walk to Richmond Road, Beddington THEN 463 bus to Wallington Station THEN Southern to Norwood Junction THEN London Overground to Surrey Quays Rail Station THEN Walk to Surrey Quays Shopping Centre THEN P12 bus to Canada Street THEN Walk to 15 Timber Pond Road, Rotherhithe"
4,IOE00406,73,"Walk to Beddington Village THEN 463 bus to Mitcham Eastfields Station THEN Thameslink to Tulse Hill THEN Southern to Peckham Rye THEN 363 bus to Friern Road THEN Walk to 1 Friern Road, East Dulwich"
4,IOE00452,92,Walk to Beddington Village THEN 455 bus to West Croydon Bus Station THEN Walk to West Croydon Station THEN London Overground to Whitechapel Rail Station THEN District line to Stepney Green THEN 309 bus to Portman Place THEN Walk to Globe Town
4,IOE00454,92,"Walk to Beddington Village THEN 455 bus to West Croydon Bus Station THEN Walk to West Croydon Station THEN London Overground to Shadwell Rail Station THEN Walk to Shadwell DLR THEN 339 bus to Dongola Road THEN Walk to 1 Ocean Street, Tower Hamlets"
4,IOE00460,82,"Walk to Richmond Road, Beddington THEN 463 bus to Wallington Station THEN Southern to London Bridge THEN Northern line to Bank THEN DLR to Limehouse DLR Station THEN 135 bus to Exmouth Estate THEN Walk to 402 Commercial Road, Tower Hamlets"
4,IOE00471,89,"Walk to Beddington Village THEN 455 bus to West Croydon Bus Station THEN Walk to West Croydon Station THEN London Overground to Shoreditch High Street Rail Station THEN Walk to Bethnal Grn Rd / Shoreditch High St THEN 388 bus to Barnet Grove THEN Walk to 1 Lorden Walk, Bethnal Green"
4,IOE00506,48,"Walk to Beddington Village THEN 463 bus to Mitcham Eastfields Station THEN Southern to Balham THEN Walk to 9999 Hearnville Road, Balham"
